sample_id,question,answer,context,ticker,filing,answer_type
11,What are the roles and responsibilities of executive officers at the company?,"Executive officers are responsible for the strategic leadership and operational management of the company, with their terms of office expiring on the date of the annual board meeting or when their successors are chosen and qualified.","The term of office for each executive officer expires on the date of the annual meeting of the board of directors, to be held on May 6, 2024 in connection with the company's annual meeting of shareholders, or on the date his or her successor is chosen and qualified.",LLY,2023_10K,long_text
12,"What framework did Intercontinental Exchange, Inc. use to assess the effectiveness of their internal control over financial reporting as of December 31, 2023?","Intercontinental Exchange, Inc. used the criteria set forth by the Committee of Sponsoring Organizations of the Treadway Commission (COSO) in Internal Control - Integrated Framework (2013 framework) to assess the effectiveness of their internal control over financial reporting as of December 31, 2023.","Management assessed the effectiveness of our internal control over financial reporting as of December 31, 2023. In making this assessment, management used the criteria set forth by the Committee of Sponsoring Organizations of the Treadway Commission (COSO) in Internal Control - Integrated Framework (2013 framework). Based on our assessment, management believes that we maintained effective internal control over financial reporting as of December 31, 2023.",ICE,2023_10K,long_text
13,When does a company disclose a possible loss in its financial statements?,A company discloses a possible loss in its financial statements if it determines that a loss is reasonably possible and the loss or range of loss can be estimated.,"If we determine that a loss is reasonably possible and the loss or range of loss can be estimated, we disclose the possible loss in Note 10 of the Notes to Consolidated Financial Statements included in Item 8 of this Annual Report on Form 10-K.",GOOGL,2023_10K,long_text
14,What was the percentage increase in the representation of women at the VP level in DaVita from 2018 to 2023?,6%,"Since 2018, we have seen a 6% increase in representation of women at the VP level and for the first time ever, surpassed 40% women VP representation in 2023.",DVA,2023_10K,numeric
15,"What is the duration over which capitalized software costs are amortized at the company, and under which balance sheet item are these costs included?","Capitalized software costs are amortized over a period of three to seven years and are included under 'Property, Plant and Equipment – Net' on the consolidated balance sheets.","The company capitalizes certain costs incurred in connection with developing or obtaining internal-use software. These capitalized software costs are included in 'Property, Plant and Equipment – Net' on the consolidated balance sheets and are amortized over a three-year to seven-year period.",T,2023_10K,long_text
16,Why did operating expenses as a percentage of revenue decrease in fiscal year 2023?,Operating expenses as a percentage of revenue decreased primarily due to lower variable compensation and disciplined cost management including Future Ready transformation savings.,Operating expenses as a percentage of revenue decreased primarily due to lower variable compensation and disciplined cost management including Future Ready transformation savings.,HPQ,2023_10K,long_text
17,What section contains the supplementary notes accompanying the financial statements in an Annual Report on Form 10-K?,"Part IV, Item 15(a)(1)","The supplementary notes to the financial statements are listed in Part IV, Item 15(a)(1) of the Annual Report on Form 10-K.",NFLX,2023_10K,short_text
18,"What was the SRO's accrued amount as a receivable for CAT implementation expenses as of December 31, 2023?",Approximately $97 million,"As of December 31, 2023, the SRO had accrued approximately $97 million as a receivable in connection with its portion of expenses related to the CAT implementation.",ICE,2023_10K,numeric
19,How does Walmart ensure the well-being of its associates?,"Walmart invests in the physical, emotional, and financial well-being of its associates by offering competitive wages and a variety of benefits. In the U.S., these benefits include affordable healthcare coverage, 401(k) matches, and parental leave among others.","Well-being - Focus on the physical, emotional, and financial well-being of our associates. We invest in our associates by offering competitive wages, as well as a broad range of benefits that vary based on customary local practices and statutory requirements. In the U.S., we offer affordable healthcare coverage to our full-time and eligible part-time associates as well as company paid benefits such as 401(k) match, family building support, maternity leave, a paid parental leave program to all full-time associates, paid time off, Associate Stock Purchase Plan match, life insurance, behavioral and mental health services, and a store discount card or Sam's Club membership.",WMT,2023_10K,long_text
20,"When did the FTC file a complaint against Meta Platforms, Inc. in the District Court for the District of Columbia, and what were the allegations?","On December 9, 2020, the FTC filed a complaint against Meta Platforms, Inc. alleging that the company engaged in anticompetitive conduct and unfair methods of competition in violation of Section 5 of the Federal Trade Commission Act and Section 2 of the Sherman Act, including by acquiring Instagram in 2012 and WhatsApp in 2014.","On December 9, 2020, the FTC filed a complaint (FTC v. Meta Platforms, Inc.) against us in the U.S. District Court for the District of Columbia alleging that we engaged in anticompetitive conduct and unfair methods of competition in violation of Section 5 of the Federal Trade Commission Act and Section 2 of the Sherman Act, including by acquiring Instagram in 2012 and WhatsApp in 2014.",META,2023_10K,long_text
21,"What are the new requirements proposed by the EPA for the power sector to address GHG emissions, effective January 1, 2030?","The new requirements proposed by the EPA for the power sector include subcategorizing the best system of emissions reduction based on fuel type, determining carbon capture and sequestration as the best method for existing coal plants, setting an emissions limit of 1,300 to 1,500 pounds of carbon dioxide per gross megawatt hour for natural gas-fueled steam units, and requiring large, high-load natural gas combustion turbines to either use carbon capture and sequestration or a co-fueling with hydrogen.","In May 2023, the EPA proposed new rules addressing GHG emissions for the power sector. The proposed requirements would take effect January 1, 2030. The EPA subcategorized the best system of emissions reduction based on fuel type. For existing coal, the EPA determined that the best system of emissions reduction is carbon capture and sequestration. For existing natural gas-fueled steam units, the EPA determined that the best system of emissions reduction is an emissions limit between 1,300 and 1,500 pounds of carbon dioxide per gross megawatt hour. For existing natural gas combustion turbines, the EPA determined that the best system of emissions reduction applies only to large, high-load turbines, which must either use carbon capture and sequestration or a co-fueling with hydrogen. Finally, for new natural gas combustion turbines, the EPA determined that the best system of emissions reduction is a co-fueling with hydrogen between 30% and 96% blend rates by 2038.",BRK-A,2023_10K,long_text
22,When did Jeffrey P. Bezos serve as Chief Executive Officer?,From May 1996 until July 2021,He has served as Chair of the Board since 1994 and served as Chief Executive Officer from May 1996 until July 2021.,AMZN,2023_10K,short_text
23,"What new high did active buyers on the Etsy marketplace reach as of December 31, 2023?",92.0 million,"As of December 31, 2023, active buyers on the Etsy marketplace reached a new all-time high of 92.0 million.",ETSY,2023_10K,numeric
24,What types of products are included in Goldman Sachs' derivatives and how are they categorized in their financial reports?,"Goldman Sachs includes futures and forwards, swaps, and options in their derivatives. These are categorized and accounted for in their financial reports based on whether they are exchange-traded, OTC-cleared, or bilateral OTC contracts.","Goldman Sachs' derivatives consist of futures and forwards, swaps, and options. These derivatives may be traded on an exchange (exchange-traded), or they may be privately negotiated contracts, which are either cleared through central counterparties (OTC-cleared) or are bilateral contracts between two counterparties (bilateral OTC).",GS,2023_10K,long_text
25,In which geographic segments does GameStop operate?,"GameStop operates in four geographic segments: United States, Canada, Australia, and Europe.","We operate in four geographic segments: United States, Canada, Australia and Europe.",GME,2023_10K,long_text
26,What was the total sales increase percentage for The Kroger Co. in 2022 compared to 2021?,7.5%,"Total sales increased in 2022, compared to 2021, by 7.5%.",KR,2023_10K,numeric
27,What is the total number of rooms Hilton has across its global properties as of the end of 2023?,"1,182,937 rooms","Hilton manages 7,530 properties with a total of 1,182,937 rooms in 126 countries and territories as of December 31, 2023.",HLT,2023_10K,short_text
28,Where can one find the company's periodic reports and other filed information?,The company's periodic reports and other information can be found on the SEC's website at www.sec.gov and on the company's investor relations website at ir.tesla.com.,"In addition, the SEC maintains a website (www.sec.gov) that contains reports, proxy and information statements, and other information regarding issuers that file electronically. Our website is located at www.tesla.com, and our reports, amendments thereto, proxy statements and other information are also made available, free of charge, on our investor relations website at ir.tesla.com as soon as reasonably practicable after we electronically file or furnish such information with the SEC.",TSLA,2023_10K,long_text
29,What was the Free Cash Flow of the company in 2023?,"The Free Cash Flow of the company in 2023 was $3,837 million.","Free Cash Flow | $ | 3,405 | $ | 3,837",ABNB,2023_10K,long_text
30,How did the trading revenue percentage change at Schwab from 2022 to 2023?,Decreased by 12%,Schwab's trading revenue decreased by 12% from 2022 to 2023.,SCHW,2023_10K,short_text
31,How does Hewlett Packard Enterprise justify the exclusion of transformation costs from its non-GAAP financial measures?,"Hewlett Packard Enterprise justifies the exclusion of transformation costs from its non-GAAP financial measures by stating these are discrete costs related to specific transformation programs (HPE Next Plan and Cost Optimization and Prioritization Plan), which were necessary for business and IT infrastructure transformation following significant divestitures and changes in the product portfolio. These costs have been materially declining and are not expected to recur beyond fiscal 2023, making their exclusion useful for comparing operating performance across multiple periods.","Transformation costs represent net costs related to the HPE Next Plan and the Cost Optimization and Prioritization Plan and include restructuring charges, program design and execution costs, costs incurred to transform our IT infrastructure, net gains from the sale of real estate and any impairment charges on real estate identified as part of the initiatives. Hewlett Packard Enterprise excludes these costs as they are discrete costs related to two specific transformation programs that were necessary to transform the business and IT infrastructure following material divestiture transactions. These costs have been materially declining since 2021 and are not expected to recur beyond fiscal 2023, thus their exclusion helps to compare operating performance across different periods.",HPE,2023_10K,long_text
32,Where can the information required by Item 8 be found in the Annual Report?,The information required by Item 8 can be found in Item 15(a) of the Annual Report.,ITEM 8. FINANCIAL STATEMENTS AND SUPPLEMENTARY DATA. The information required by this item is included in Item 15(a) of this Annual Report.,IRM,2023_10K,long_text
33,What are the ramifications of violating laws related to government reimbursement programs?,"Violating laws related to government reimbursement programs can result in recoupment or reduction of government reimbursement amounts, civil penalties, treble damages, and exclusion from participation in government health care programs.","Potential sanctions for violating these laws include recoupment or reduction of government reimbursement amounts, civil penalties, treble damages, and exclusion from participation in government health care programs.",CVS,2023_10K,long_text
34,What was the outstanding balance and year-end stated interest rate on short-term borrowings for the years 2023 and 2022?,"For the year 2023, the outstanding balance of short-term borrowings was $1,293 million with a year-end stated interest rate of 1.03%. For the year 2022, the outstanding balance was $1,348 million with a year-end stated interest rate of 0.94%.","Short-term borrowings, defined with original contractual maturity dates of less than one year, had outstanding balances of $1,293 million in 2023 and $1,348 million in 2022 with year-end stated interest rates of 1.03% and 0.94% respectively.",AXP,2023_10K,long_text
35,"What principle governs Macao under the Basic Law after December 20, 1999?","'One country, two systems' is the principle under which Macao is governed according to the Basic Law, after becoming a Special Administrative Region of China on December 20, 1999.","From December 20, 1999, Macao became a Special Administrative Region of China when China resumed the exercise of sovereignty over Macao. The Basic Law of Macao provides that Macao will be governed under the principle of 'one country, two systems' with its own separate government and legislature.",LVS,2023_10K,long_text
36,How are the company's postretirement benefit plan actuarial gains or losses recognized?,The company recognizes actuarial gains or losses immediately through earnings using a mark-to-market approach upon annual remeasurement in the fourth quarter or on an interim basis as triggering events warrant remeasurement.,"The effects of actual results differing from our assumptions and the effects of changing assumptions are considered actuarial gains or losses. We utilize a mark-to-market approach in recognizing actuarial gains or losses immediately through earnings upon the annual remeasurement in the fourth quarter, or on an interim basis as triggering events warrant remeasurement.",CAT,2023_10K,long_text
37,What generation technology does the 40 Series graphics cards feature?,"The 40 Series graphics cards feature third generation RTX technology, third generation NVIDIA DLSS, and fourth generation Tensor Cores.","The 40 Series features our third generation RTX technology, third generation NVIDIA DLSS, and fourth generation Tensor Cores to deliver up to 4X the performance of the previous generation.",NVDA,2023_10K,long_text
38,What are the primary forms of payment that Visa competes against?,"Visa competes against all forms of payment including paper-based payments like cash and checks, and all forms of electronic payments.","We compete against all forms of payment. This includes paper-based payments, primarily cash and checks, and all forms of electronic payments.",V,2023_10K,long_text
39,What is the percentage of Black or African American and Hispanic or Latino employees in the workforce in the United States?,6%,"As of the end of fiscal year 2023, our global workforce was 80% male, 19% female, and 1% not declared, with 6% of our workforce in the United States composed of Black or African American and Hispanic or Latino employees.",NVDA,2023_10K,numeric
40,"What was the net cash from operations reported for the year ended June 30, 2023?","87,582 million","Net cash from operations | | 87,582 | | | | 89,035 | | | 76,740 |",MSFT,2023_10K,numeric
41,What is the accounting treatment of deferred revenue?,Deferred revenue is recognized when there is an obligation to transfer goods or services to a customer and consideration has already been received from the customer.,Deferred revenue is recognized when we have an obligation to transfer goods or services to a customer and have already received consideration from the customer.,EFX,2023_10K,long_text
42,Why is stock-based compensation excluded from Adjusted EBITDA calculations?,Stock-based compensation is excluded because it is a significant recurring expense and a crucial part of the company's compensation strategy.,"Adjusted EBITDA excludes stock-based compensation expense, which has recently been, and will continue to be for the foreseeable future, a significant recurring expense for our business and an important part of our compensation strategy.",PTON,2023_10K,long_text
43,What are the potential remedies if a violation is found by the European Commission or the U.K. Competition and Markets Authority in their investigation of automotive companies?,Imposing a fine and/or the prohibition or restriction of certain business practices,"If a violation is found, a broad range of remedies is potentially available to the Commission and/or CMA, including imposing a fine and/or the prohibition or restriction of certain business practices.",F,2023_10K,long_text
44,What item number in the Annual Report on Form 10-K discusses legal proceedings?,Item 3,Legal proceedings are discussed in Item 3 of the Annual Report on Form 10-K.,AVGO,2023_10K,short_text
45,"Which nonprofit organization is Chevron a strategic partner of, and what is its main purpose?","Chevron is a strategic partner of the Global Centre for Maritime Decarbonisation, which supports cross-industry collaboration to help the International Maritime Organization meet its greenhouse gas emissions reduction goals for 2030 and 2050.",Chevron is a strategic partner of the Global Centre for Maritime Decarbonisation. This Singapore-based nonprofit supports cross-industry collaboration to help the International Maritime Organization meet its greenhouse gas emissions reduction goals for 2030 and 2050.,CVX,2023_10K,long_text
46,What are the potential penalties for failing to comply with IRA provisions?,"Manufacturers may be subject to various penalties, including civil monetary penalties, for non-compliance with IRA provisions.","Failure to comply with IRA provisions may subject manufacturers to various penalties, including civil monetary penalties.",JNJ,2023_10K,long_text
47,What could affect the Company’s financial condition and operating results?,Resolution of legal matters in a manner inconsistent with management’s expectations could affect the Company’s financial condition and operating results.,"results. Legal and Other Contingencies The Company is subject to various legal proceedings and claims that arise in the ordinary course of business, the outcomes of which are inherently uncertain. The Company records a liability when it is probable that a loss has been incurred and the amount is reasonably estimable, the determination of which requires significant judgment. Resolution of legal matters in a manner inconsistent with management’s expectations could have a material impact on the Company’s financial condition and operating results. Apple Inc. | 2023 Form 10-K | 25",AAPL,2023_10K,long_text
48,What are some typical sections included in the Management's Discussion and Analysis of a corporate financial report?,"Typical sections included in the Management's Discussion and Analysis of a corporate financial report are Executive Overview, Critical Accounting Policies and Estimates, Results of Operations, and Liquidity and Capital Resources.","In corporate financial reporting, different sections of the Management's Discussion and Analysis include topics such as Executive Overview, Critical Accounting Policies and Estimates, Results of Operations, and Liquidity and Capital Resources.",INTU,2023_10K,long_text
49,"What was the net loss for the year ended December 31, 2023?",$396.6 million,"Net loss was $396.6 million and $973.6 million during the years ended December 31, 2023, and December 31, 2022, respectively.",AMC,2023_10K,numeric
